plot,tree,species,d13,h,v
40,28,1,23.2,22.5,0.448854696
40,31,1,19.6,22.6,0.324705958
40,33,1,27.8,22.9,0.647101594
40,34,1,31.4,23.7,0.844007999
40,36,1,26,24.5,0.605914202
40,41,1,28.3,23.9,0.696973552
40,43,1,24.4,21.8,0.480552258
40,44,1,23,22.8,0.446869923
40,47,1,27,24.5,0.651645217
40,49,1,17.8,19.6,0.235723489
40,50,1,31.5,22.9,0.822330158
40,500,3,9.2,10.3,0.037004165
40,501,3,3.5,5.1,0.003148933
40,502,3,2.4,3.7,0.001262209
40,504,3,8.5,9.6,0.029694242
40,505,3,5.6,7.5,0.010666428
40,506,1,25.6,29.4,0.698427973
40,507,3,6.2,8.2,0.014079731
40,508,3,4.3,6.7,0.005846362
40,509,3,3.8,5,0.003621827
40,511,3,6,10,0.016255613
40,512,5,4.2,5.4,0.004641497
40,513,3,4.8,6.2,0.006700932
40,514,7,4.3,5.7,0.005071173
40,515,7,3.5,3.8,0.002608131
40,516,3,6.2,8.6,0.014772639
40,520,3,4.3,7,0.006089472
40,521,3,6.3,8.6,0.015219242
40,523,3,2.3,4.5,0.00130154
40,524,7,3.5,5.6,0.003392298
40,525,1,17.5,21.2,0.245180696
40,526,3,6.6,8.4,0.016203821
40,527,3,4.3,6,0.005297422
40,528,3,2.7,4.6,0.001789672
40,531,3,3.9,6.5,0.004733154
40,532,3,3.5,5.9,0.00354451
40,533,3,3.4,7.5,0.004180274
40,534,3,2.7,4.6,0.001789672
41,9,1,25.8,21,0.516992294
41,12,1,18.7,19,0.252257729
41,14,1,12.1,15.7,0.090144479
41,15,1,19.7,20.1,0.294123484
41,16,1,20.6,20.9,0.33267653
41,20,1,25.3,22.6,0.533006058
41,21,1,26.4,21.2,0.545211962
41,24,1,19.2,21,0.291312489
41,25,1,24.3,21.2,0.464544838
41,27,1,31.2,23.3,0.820587545
41,30,1,33.3,23.7,0.944177844
41,31,1,31.8,24.9,0.905660738
41,33,1,25,23.2,0.533759888
41,34,1,14.4,18,0.143823367
41,39,1,18.8,19.7,0.263535133
41,40,1,23.9,21.3,0.451826086
41,501,1,19,19.7,0.269037151
41,502,3,4.1,5.1,0.004241532
41,503,1,15.8,17.3,0.166449212
41,504,1,17.6,21.4,0.25010094
41,508,3,3.3,5.8,0.003126399
41,510,1,19.5,18.5,0.267129198
41,517,2,4.5,3.5,0.004036043
41,518,3,6.9,8.4,0.017598284
41,519,1,20.5,22.7,0.355859115
41,520,1,14.5,14,0.116217169
41,521,3,5.4,7.5,0.009965914
41,522,3,4,5.8,0.004491919
41,524,1,10.5,13.9,0.061070361
42,16,1,27.3,22.8,0.622341409
42,17,1,26.8,22,0.580907444
42,19,1,20,19,0.287604859
42,23,1,25.3,21.3,0.504415315
42,24,1,29.6,23,0.732953677
42,28,1,31.1,21.3,0.750142832
42,32,1,20.8,19.4,0.316446225
42,35,1,10.7,11.8,0.054913438
42,41,3,5,6.4,0.007440839
42,44,3,8.3,10.8,0.032217543
42,502,1,11.3,14.7,0.074229563
42,503,3,4.6,7.5,0.007381433
42,505,3,3.6,5.1,0.003320631
42,506,3,5.4,7.1,0.009456644
43,16,1,24.3,21,0.460477502
43,17,1,21.4,21.5,0.367813029
43,18,1,30.9,22.7,0.786168322
43,19,1,32.3,21.9,0.827523269
43,22,1,32.9,19.9,0.784297377
43,27,1,28.4,17.4,0.523214206
43,28,1,36.5,21.5,1.026450679
43,32,1,37.7,22.1,1.119589374
43,36,1,21.7,19.5,0.345253587
43,37,1,22.5,20.1,0.380908893
43,39,1,30.1,21,0.695426352
43,42,1,26.8,21.7,0.573534296
43,46,1,17.3,19.3,0.21979364
43,500,4,1.9,4.1,0.000854801
43,501,7,2.8,3.9,0.001734077
43,503,3,3.3,5.8,0.003126399
43,504,3,6.8,10.5,0.021613541
43,506,3,3.8,7,0.004826506
43,507,3,3.9,4.6,0.003582109
43,511,4,3.6,6.2,0.003902483
43,512,4,2.7,4,0.001640944
43,513,4,2.3,4.3,0.001263892
43,515,7,3.1,4,0.002130604
43,516,4,3.7,6.2,0.00410919
43,517,7,2.3,4.6,0.001321013
43,518,4,3.4,6.1,0.003454179
43,519,7,2.5,5.3,0.001718072
43,520,7,3,5.3,0.002425577
43,521,7,2.4,3.8,0.0012783
43,522,4,2.4,4.7,0.001453494
43,529,7,2.6,5.3,0.001850498
43,530,4,2.6,4.6,0.001666316
43,531,4,4.4,6.7,0.006104267
43,532,4,3.4,5.6,0.003211868
43,533,3,10.2,12.7,0.056198715
43,534,4,3.8,5.4,0.003845112
43,535,4,2.8,4.5,0.001888854
